Sample,Position,Chlorite_wt,Illite_wt,Kaolinite_wt,Smectite_wt,Muscovite_wt,Quartz_Feldspar_wt,Calcite_wt,Dolomite_wt,Sulfur_wt,Mean_carbonate_content,Mean_magnetic_susceptibility,Mean_eth_porosity,,
SLG1,0,2,8.1999999999999993,2.3999999999999999,1.7,0,81.599999999999994,2,2.1000000000000001,0,2.05,8.5268044815465697e-09,0.61,,
SLG2,3.5,2.5,11.800000000000001,5.2999999999999998,5.0999999999999996,2.7000000000000002,64,5.0999999999999996,3.6000000000000001,0,4.37,1.0486313229572001e-08,1.08,,
SLG3,7.8000000000000007,3.3999999999999999,33.200000000000003,6.2000000000000002,10.699999999999999,2.1000000000000001,38.100000000000001,4.0999999999999996,2.2000000000000002,0,3.32,2.6374470079307899e-08,2.37,,
SLG4,13.599999999999998,2.3999999999999999,17.399999999999999,5.7999999999999998,3.1000000000000001,0,64.400000000000006,3.3999999999999999,3.7000000000000002,0,3.71,1.4234457442517101e-08,1.31,,
SLG5,17.800000000000001,3.5,13.800000000000001,4.5,2.3999999999999999,0,63.799999999999997,5.4000000000000004,6.7000000000000002,0,5.05,1.24618304304962e-08,1.37,,
SLG6,23.599999999999998,10.1,13.199999999999999,5.0999999999999996,1.8,0,59.200000000000003,4.7999999999999998,5.7999999999999998,0,3.58,2.1054243727598601e-08,0.82,,
SLG7,25.800000000000001,5.2999999999999998,12.699999999999999,2.7999999999999998,2.2000000000000002,0,71.799999999999997,2.6000000000000001,2.6000000000000001,0,2.68,1.5251648484848502e-08,0.57,,
SLG8,28.000000000000004,3.3999999999999999,11.9,3.5,2.1000000000000001,0,72.599999999999994,2.7999999999999998,3.7000000000000002,0,3.21,1.6803769483182899e-08,0.71,,
SLG9,29.400000000000002,10.4,21.5,5.4000000000000004,3.2000000000000002,0,54.100000000000001,2.3999999999999999,3,0,2.84,2.1873759054517701e-08,0.42,,
SLG10,31.400000000000002,3,12,8.6999999999999993,2.1000000000000001,0,64.299999999999997,3.7000000000000002,6.2000000000000002,0,3.40,1.32433948635634e-08,1.11,,
SLG11,33.650000000000006,5.4000000000000004,14.5,6.5999999999999996,2.6000000000000001,0,55.399999999999999,7.5,8,0,7.26,2.1560203784570601e-08,0.89,,
SLG12,36,6.0999999999999996,12.5,7.2999999999999998,0.80000000000000004,0,59.600000000000001,5,8.6999999999999993,0,4.24,2.8278784300104199e-08,1.92,,
SLG13,36.599999999999994,6.5,19.100000000000001,9.4000000000000004,3.3999999999999999,0,52.100000000000001,4.2000000000000002,5.4000000000000004,0,4.29,1.8784945833333299e-08,7.55,,
SLG14,36.799999999999997,5.5999999999999996,16.100000000000001,7,2.7999999999999998,0,58.799999999999997,4.0999999999999996,5.5999999999999996,0,5.21,1.4286371482176399e-08,1.74,,
SLG16,37.700000000000003,3.3999999999999999,10.800000000000001,5.5,1.8999999999999999,0,69.5,3.7000000000000002,5.0999999999999996,0,5.74,1.3626192870201101e-08,4.15,,
SLG17,38.399999999999991,12.9,28.199999999999999,10.300000000000001,22,0,19.899999999999999,3.6000000000000001,3.2000000000000002,0,11.45,2.6028710390567399e-08,8.10,,
SLG18,42,6.7000000000000002,22.800000000000001,10.199999999999999,15.4,0,36.700000000000003,3.8999999999999999,4.4000000000000004,0,10.24,2.2536887550200801e-08,10.66,,
SLG19,42.899999999999991,7.0999999999999996,20,9.6999999999999993,3.2000000000000002,0,45.5,6.2000000000000002,8.1999999999999993,0,10.87,2.1361684078562499e-08,6.33,,
